证券代码,证券简称,公司名称,到期日期
136343.SH,16泸工债,泸州市工业投资集团有限公司,20210325
012100627.IB,21徐工SCP001,徐工集团工程机械有限公司,20210326
012100668.IB,21东航SCP003,中国东方航空集团有限公司,20210326
012100752.IB,21伊利实业SCP010,内蒙古伊利实业集团股份有限公司,20210326
118589.SZ,16袍工01,绍兴袍江工业区投资开发有限公司,20210328
118587.SZ,16道桥01,遵义道桥建设(集团)有限公司,20210329
1480172.IB,14启经营债01,启东市城市建设投资开发有限公司,20210404
101664024.IB,16重庆出版MTN001,重庆出版集团有限公司,20210407
012100593.IB,21福建漳州SCP001,福建漳州城投集团有限公司,20210409
012100693.IB,21中电信SCP003,中国电信股份有限公司,20210409
112373.SZ,16奥瑞金,奥瑞金科技股份有限公司,20210411
101800371.IB,18中化工MTN002,中国化工集团有限公司,20210412
101800374.IB,18金茂控股MTN001,中国金茂控股集团有限公司,20210412
101800384.IB,18普洛斯洛华MTN002,普洛斯中国控股有限公司,20210413
101800403.IB,18桂铁投MTN002,广西铁路投资集团有限公司,20210417
112682.SZ,18苏宁01,苏宁易购集团股份有限公司,20210419
112681.SZ,18恒逸02,恒逸石化股份有限公司,20210419
112383.SZ,16当代债,当代节能置业股份有限公司,20210420
136389.SH,16鲁商02,山东省商业集团有限公司,20210422
031900240.IB,19江西和济PPN001,江西和济投资有限公司,20210423
101659025.IB,16大连万达MTN002,大连万达商业管理集团股份有限公司,20210428
101800574.IB,18云城投MTN004,云南省城市建设投资集团有限公司,20210502
101800580.IB,18南玻MTN001,中国南玻集团股份有限公司,20210504
101800591.IB,18津城建MTN011A,天津城市基础设施建设投资集团有限公司,20210504
1822011.IB,18哈银租赁债01,哈银金融租赁有限责任公司,20210504
136417.SH,16万达02,大连万达商业管理集团股份有限公司,20210506
112697.SZ,18苏宁02,苏宁易购集团股份有限公司,20210509
101677002.IB,16綦江新城MTN001,重庆市綦江区东部新城开发建设有限公司,20210510
1480305.IB,14渝茶园债,重庆市茶园工业园区建设开发有限责任公司,20210520
101451018.IB,14滨建投MTN002,天津滨海新区建设投资集团有限公司,20210521
124768.SH,PR云城投,云南省城市建设投资集团有限公司,20210523
112395.SZ,16泰禾03,泰禾集团股份有限公司,20210525
012100715.IB,21复星医药SCP001,上海复星医药(集团)股份有限公司,20210527
101675004.IB,16临桂城投MTN001,桂林新城投资开发集团有限公司,20210601
012100674.IB,21苏州文旅SCP002,苏州文化旅游发展集团有限公司,20210605
031800326.IB,18漳州交运PPN001,漳州市交通发展集团有限公司,20210615
101800686.IB,18兖矿MTN008,兖矿集团有限公司,20210615
1480352.IB,14金桥棚改债,连云港市工业投资集团有限公司,20210619
124821.SH,PR百色投,广西百色开发投资集团有限公司,20210620
101662035.IB,16华靖资产MTN001,江苏华靖资产经营有限公司,20210620
118719.SZ,16云铁01,云南省铁路投资有限公司,20210623
031658023.IB,16兰州城投PPN002,兰州市城市发展投资有限公司,20210623
143643.SH,18联想02,联想控股股份有限公司,20210629
118694.SZ,16芦淞债,株洲新芦淞产业发展集团有限公司,20210630
136521.SH,16鸿坤01,北京鸿坤伟业房地产开发有限公司,20210708
118744.SZ,16靖投债,靖江市城投基础设施发展有限公司,20210708
112724.SZ,18万集01,万达集团股份有限公司,20210709
012100608.IB,21青岛城投SCP001,青岛城市建设投资(集团)有限责任公司,20210709
101655015.IB,16新世界MTN001,上海新世界(集团)有限公司,20210711
112733.SZ,18苏宁04,苏宁易购集团股份有限公司,20210717
136556.SH,16鸿坤02,北京鸿坤伟业房地产开发有限公司,20210718
101800770.IB,18鲁钢铁MTN001,山东钢铁集团有限公司,20210719
031672022.IB,16内江投控PPN001,内江投资控股集团有限公司,20210720
101658032.IB,16贵州高投MTN001,贵州高速投资集团有限公司,20210721
101658034.IB,16华强MTN002,深圳华强集团有限公司,20210722
136569.SH,16海亮03,海亮集团有限公司,20210722
012100579.IB,21常城建SCP002,常州市城市建设(集团)有限公司,20210725
112418.SZ,16中南02,江苏中南建设集团股份有限公司,20210727
012100559.IB,21鲁高速股SCP002,山东高速股份有限公司,20210804
136592.SH,16鄂稻01,湖北稻花香酒业股份有限公司,20210804
012100565.IB,21中石化SCP001,中国石油化工股份有限公司,20210804
101659045.IB,16湘轻盐MTN001,湖南省轻工盐业集团有限公司,20210805
042000335.IB,20阳煤CP012,阳泉煤业(集团)有限责任公司,20210806
012100625.IB,21江西交投SCP002,江西省交通投资集团有限责任公司,20210806
031800436.IB,18陕煤化PPN002,陕西煤业化工集团有限责任公司,20210806
012100591.IB,21东南国资SCP002,南京东南国资投资集团有限责任公司,20210807
042000336.IB,20山西文旅CP002,山西省文化旅游投资控股集团有限公司,20210807
031800442.IB,18浦口康居PPN005,南京浦口康居建设集团有限公司,20210810
101800867.IB,18汉江国资MTN003,汉江国有资本投资集团有限公司,20210810
112743.SZ,18苏宁05,苏宁易购集团股份有限公司,20210813
143749.SH,18云城01,云南省城市建设投资集团有限公司,20210815
101658036.IB,16广州万力MTN001,广州万力集团有限公司,20210818
012100633.IB,21浙江机场SCP001,浙江省机场集团有限公司,20210818
124915.SH,14宏桥02,山东宏桥新型材料有限公司,20210821
112432.SZ,16冀中02,冀中能源股份有限公司,20210822
012100669.IB,21广州地铁SCP001,广州地铁集团有限公司,20210823
042000359.IB,20深圳机场CP002,深圳市机场(集团)有限公司,20210824
136663.SH,16友阿02,湖南友谊阿波罗控股股份有限公司,20210824
101800943.IB,18如皋经开MTN003,如皋市经济贸易开发总公司,20210824
042000358.IB,20赣州城投CP002,赣州城市开发投资集团有限责任公司,20210824
012100719.IB,21锡产业SCP006,无锡产业发展集团有限公司,20210825
042000364.IB,20长电CP002,中国长江电力股份有限公司,20210826
042000367.IB,20鹰潭国控CP002,鹰潭市国有控股集团有限公司,20210826
031800510.IB,18河钢集PPN001,河钢集团有限公司,20210827
101800950.IB,18长发集团MTN003,长春市城市发展投资控股(集团)有限公司,20210827
101800957.IB,18如皋沿江MTN002,如皋沿江开发投资有限公司,20210827
136669.SH,16南山04,南山集团有限公司,20210829
136670.SH,16南山05,南山集团有限公司,20210829
101800984.IB,18顺鑫MTN001,北京顺鑫控股集团有限公司,20210831
042000378.IB,20新都香城CP001,成都市新都香城建设投资有限公司,20210831
101670002.IB,16桂铁投MTN001,广西铁路投资集团有限公司,20210901
101660037.IB,16青国投MTN001,青海省国有资产投资管理有限公司,20210902
101801004.IB,18长发集团MTN004,长春市城市发展投资控股(集团)有限公司,20210903
042000388.IB,20西安浐灞CP001,西安市浐灞河发展有限公司,20210904
136694.SH,16铁峰01,大同煤矿集团铁峰煤业有限公司,20210909
101801067.IB,18豫园商城MTN002,上海豫园旅游商城(集团)股份有限公司,20210913
101662066.IB,16江阴公MTN001,江阴市公有资产经营有限公司,20210920
042000417.IB,20内蒙电投CP002,内蒙古能源发电投资集团有限公司,20210925
101658057.IB,16武汉旅游MTN001,武汉旅游发展投资集团有限公司,20210926
101658056.IB,16蒙高路MTN001,内蒙古高等级公路建设开发有限责任公司,20210926
031800582.IB,18海淀国资PPN001,北京市海淀区国有资本经营管理中心,20210928
136739.SH,16通用02,中国通用技术(集团)控股有限责任公司,20210928
136744.SH,16祥源债,祥源控股集团有限责任公司,20210929
042000421.IB,20合川投资CP002,重庆市合川工业投资(集团)有限公司,20210929
124977.SH,14天瑞03,天瑞集团股份有限公司,20211016
101659060.IB,16苏沙钢MTN003,江苏沙钢集团有限公司,20211020
101658061.IB,16蒙高路MTN002,内蒙古高等级公路建设开发有限责任公司,20211020
101659062.IB,16湖南建工MTN002,湖南建工集团有限公司,20211021
112770.SZ,18阳城01,阳光城集团股份有限公司,20211022
101801189.IB,18兖州煤业MTN002,兖州煤业股份有限公司,20211023
101674014.IB,16株洲国投MTN001,株洲市国有资产投资控股集团有限公司,20211028
101801242.IB,18大同煤矿MTN008,大同煤矿集团有限责任公司,20211030
101801235.IB,18建投新能MTN002,河北建投新能源有限公司,20211030
101801244.IB,18大同煤矿MTN007,大同煤矿集团有限责任公司,20211031
012100505.IB,21伊犁财通SCP001,伊犁哈萨克自治州财通国有资产经营有限责任公司,20211031
1480552.IB,14岳阳惠临债,岳阳惠临投资发展有限公司,20211103
101662082.IB,16鲁宏桥MTN002,山东宏桥新型材料有限公司,20211104
012100631.IB,21中铝集SCP001,中国铝业集团有限公司,20211105
112474.SZ,16合泰01,合肥华泰集团股份有限公司,20211109
031800652.IB,18宁河西PPN002,南京市河西新城区国有资产经营控股(集团)有限责任公司,20211113
136823.SH,16南山07,南山集团有限公司,20211116
101675010.IB,16文投MTN001,文投控股股份有限公司,20211118
012100699.IB,21首钢SCP003,首钢集团有限公司,20211119
012100692.IB,21桂交投SCP003,广西交通投资集团有限公司,20211122
012100753.IB,21镇江城建SCP006,镇江城市建设产业集团有限公司,20211127
1180172.IB,11滁州城投债,滁州市城市建设投资有限公司,20211130
101801409.IB,18北辰实业MTN001,北京北辰实业股份有限公司,20211203
114800.SZ,20文蓝02,威海市文登区蓝海投资开发有限公司,20211205
112489.SZ,16嘉美债,嘉美食品包装(滁州)股份有限公司,20211208
143862.SH,18保集02,保集控股集团有限公司,20211210
101801479.IB,18天津港MTN001,天津港(集团)有限公司,20211213
122765.SH,11泛海02,中国泛海控股集团有限公司,20211213
101901721.IB,19均胜电子MTN001,宁波均胜电子股份有限公司,20211218
136886.SH,16南翔03,安徽省南翔贸易(集团)有限公司,20211219
101801560.IB,18中化工程MTN001,中国化学工程股份有限公司,20211228
136893.SH,17泰达债,天津泰达投资控股有限公司,20220120
032000073.IB,20阳煤PPN002,阳泉煤业(集团)有限责任公司,20220120
031900121.IB,19湘潭建设PPN001,湘潭县建设投资有限公司,20220130
042100074.IB,21盐城国投CP001,盐城市国有资产投资集团有限公司,20220208
042100084.IB,21萧山国资CP001,杭州萧山国有资产经营集团有限公司,20220226
101783002.IB,17西安高新MTN001,西安高新控股有限公司,20220227
031900168.IB,19淮北建投PPN001,淮北市建投控股集团有限公司,20220301
101769003.IB,17晋路桥MTN001,山西路桥建设集团有限公司,20220308
127111.SH,PR黔南投,黔南州投资有限公司,20220309
127120.SH,PR巴南债,重庆巴南经济园区建设实业有限公司,20220313
122724.SH,PR攀国02,攀枝花市国有投资(集团)有限责任公司,20220313
031900064.IB,19河钢集PPN001,河钢集团有限公司,20220315
101752008.IB,17新城控股MTN001,新城控股集团股份有限公司,20220316
155244.SH,19闽交02,福建省交通运输集团有限责任公司,20220318
101900357.IB,19武汉工业MTN001,武汉工业控股集团有限公司,20220320
124057.SH,PR汕城开,汕头市城市建设开发总公司,20220323
031900252.IB,19西安浐灞PPN001,西安市浐灞河发展有限公司,20220325
101900394.IB,19海国鑫泰MTN002,北京市海淀区国有资产投资集团有限公司,20220325
122616.SH,PR黔铁债,贵州铁路投资有限责任公司,20220327
101772003.IB,17京机电MTN001,北京京城机电控股有限责任公司,20220327
122679.SH,PR河套债,巴彦淖尔市河套水务集团有限公司,20220331
136360.SH,16富力04,广州富力地产股份有限公司,20220407
127159.SH,PR越投债,诸暨市越都投资发展有限公司,20220407
155288.SH,19成大01,辽宁成大股份有限公司,20220408
101753005.IB,17今世缘MTN001,今世缘集团有限公司,20220417
1580123.IB,15梅州金叶债,梅州市新金叶发展公司,20220422
031900362.IB,19汉当科PPN001,武汉当代科技产业集团股份有限公司,20220422
101900582.IB,19靖江港MTN001,靖江港口集团有限公司,20220422
101556009.IB,15津城建MTN001,天津城市基础设施建设投资集团有限公司,20220423
163777.SH,20津保Y3,天津保税区投资控股集团有限公司,20220424
101762029.IB,17淮南城投MTN001,淮南市城市建设投资有限责任公司,20220425
101900626.IB,19吉利MTN001,浙江吉利控股集团有限公司,20220426
127185.SH,PR绍城债,绍兴市城中村改造建设投资有限公司,20220427
143103.SH,17云投G1,云南省城市建设投资集团有限公司,20220428
127212.SH,PR黄城债,黄石市城市建设投资开发有限责任公司,20220429
127157.SH,PR石城投,石狮市城市建设有限公司,20220504
136329.SH,16国美03,国美电器有限公司,20220510
101900149.IB,19新海连MTN001,江苏新海连发展集团有限公司,20220515
101900717.IB,19乌高新MTN001,乌鲁木齐高新投资发展集团有限公司,20220516
114486.SZ,19新沂债,新沂市交通投资有限公司,20220523
101780003.IB,17幸福基业MTN001,华夏幸福基业股份有限公司,20220523
1580158.IB,15邯郸建投债,邯郸市建设投资集团有限公司,20220527
101900758.IB,19环球租赁MTN001,中国环球租赁有限公司,20220605
101900760.IB,19平煤化MTN004,中国平煤神马能源化工集团有限责任公司,20220605
101900766.IB,19山煤MTN001,山西煤炭进出口集团有限公司,20220606
101765001.IB,17乌城投MTN001,乌鲁木齐城市建设投资(集团)有限公司,20220609
101900802.IB,19沪纺织MTN001,上海纺织(集团)有限公司,20220617
155456.SH,19南山03,南山集团有限公司,20220618
114177.SZ,17远东二,远东国际融资租赁有限公司,20220619
155480.SH,G19天成1,华能天成融资租赁有限公司,20220620
101764013.IB,17焦作投资MTN001,焦作市投资集团有限公司,20220620
101755014.IB,17清远德晟MTN001,清远市德晟投资集团有限公司,20220622
031900526.IB,19淮安新城PPN004,淮安新城投资开发有限公司,20220626
031900538.IB,19下城投PPN001,杭州市下城区城市建设投资发展集团有限公司,20220705
122393.SH,15恒大03,恒大地产集团有限公司,20220708
101900908.IB,19津城建MTN006,天津城市基础设施建设投资集团有限公司,20220712
031763012.IB,17乌城投PPN001,乌鲁木齐城市建设投资(集团)有限公司,20220719
101900964.IB,19桂铁投MTN001,广西铁路投资集团有限公司,20220719
101773010.IB,17惠民建投MTN002,济宁市兖州区惠民城建投资有限公司,20220720
101763011.IB,17长发集团MTN002,长春市城市发展投资控股(集团)有限公司,20220724
1680304.IB,16金湖债,金湖县国有资产经营投资有限责任公司,20220726
112557.SZ,17冀中01,冀中能源股份有限公司,20220726
1580195.IB,15徐州新盛债,徐州市新盛投资控股集团有限公司,20220812
127249.SH,PR丽水债,丽水市城市建设发展有限公司,20220813
114544.SZ,19中金01,中天金融集团股份有限公司,20220816
101901103.IB,19怡亚通MTN002,深圳市怡亚通供应链股份有限公司,20220820
